2024-03-25 15:44:32,888 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ea17f8ec-47dd-42ba-af0f-93d6b39beb23, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "8c69ca4f-ba0d-4697-8c42-5709ce2bb20c" uuid128 { mostSigBits: -8328903592072362345 leastSigBits: -8340007860311444980 } } type: RATIS factor: ONE datanode { uuid: "ea17f8ec-47dd-42ba-af0f-93d6b39beb23" ipAddress: "172.18.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ea17f8ec-47dd-42ba-af0f-93d6b39beb23" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1578519450668416326 leastSigBits: -5832280442075878621 } level: 3 } cmdId: 1711381470555 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "3d9902b6-5576-43fe-a207-fe0c35704818" uuid128 { mostSigBits: 4438581889891451902 leastSigBits: -6771164186338637800 } } type: RATIS factor: THREE datanode { uuid: "5fa3349a-00d3-4f1b-a6dc-68fc25fd8269" ipAddress: "172.18.0.6" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5fa3349a-00d3-4f1b-a6dc-68fc25fd8269" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6891409690850447131 leastSigBits: -6423143536358751639 } level: 3 } datanode { uuid: "ea17f8ec-47dd-42ba-af0f-93d6b39beb23" ipAddress: "172.18.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ea17f8ec-47dd-42ba-af0f-93d6b39beb23" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1578519450668416326 leastSigBits: -5832280442075878621 } level: 3 } datanode { uuid: "4cf2bd4b-9b27-4f67-be54-ac07ca37632b" ipAddress: "172.18.0.4" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4cf2bd4b-9b27-4f67-be54-ac07ca37632b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5544702223669743463 leastSigBits: -4731968159002172629 } level: 3 } cmdId: 1711381470556 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "67b0aebd-881c-4495-aa20-cb79694ab515" uuid128 { mostSigBits: 7471663910863258773 leastSigBits: -6187722165689076459 } } type: RATIS factor: THREE datanode { uuid: "5fa3349a-00d3-4f1b-a6dc-68fc25fd8269" ipAddress: "172.18.0.6" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5fa3349a-00d3-4f1b-a6dc-68fc25fd8269" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6891409690850447131 leastSigBits: -6423143536358751639 } level: 3 } datanode { uuid: "4cf2bd4b-9b27-4f67-be54-ac07ca37632b" ipAddress: "172.18.0.4" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4cf2bd4b-9b27-4f67-be54-ac07ca37632b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5544702223669743463 leastSigBits: -4731968159002172629 } level: 3 } datanode { uuid: "ea17f8ec-47dd-42ba-af0f-93d6b39beb23" ipAddress: "172.18.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ea17f8ec-47dd-42ba-af0f-93d6b39beb23" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1578519450668416326 leastSigBits: -5832280442075878621 } level: 3 } cmdId: 1711381470557 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2024-03-25 15:44:33,620 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4cf2bd4b-9b27-4f67-be54-ac07ca37632b, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:33,871 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4cf2bd4b-9b27-4f67-be54-ac07ca37632b, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:34,103 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=5fa3349a-00d3-4f1b-a6dc-68fc25fd8269, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:34,335 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=5fa3349a-00d3-4f1b-a6dc-68fc25fd8269, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:34,484 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ea17f8ec-47dd-42ba-af0f-93d6b39beb23, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:34,808 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ea17f8ec-47dd-42ba-af0f-93d6b39beb23, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:35,592 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-03-25 15:44:35,679 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4cf2bd4b-9b27-4f67-be54-ac07ca37632b, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:35,839 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=5fa3349a-00d3-4f1b-a6dc-68fc25fd8269, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:35,900 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ea17f8ec-47dd-42ba-af0f-93d6b39beb23, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:38,956 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4cf2bd4b-9b27-4f67-be54-ac07ca37632b, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:39,387 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=5fa3349a-00d3-4f1b-a6dc-68fc25fd8269, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:39,574 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=5fa3349a-00d3-4f1b-a6dc-68fc25fd8269, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:39,751 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ea17f8ec-47dd-42ba-af0f-93d6b39beb23, term=2, command=[]} | ret=SUCCESS |  
2024-03-25 15:44:40,833 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=4cf2bd4b-9b27-4f67-be54-ac07ca37632b, term=2, command=[]} | ret=SUCCESS |  
