2025-06-17 21:31:57,489 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=bff4a720-def2-43c5-a8df-f2e0e650ca8f, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "de06001d-b16c-4fb7-a863-955484362e04" uuid128 { mostSigBits: -2448269219898568777 leastSigBits: -6313038062415368700 } } type: RATIS factor: ONE datanode { uuid: "bff4a720-def2-43c5-a8df-f2e0e650ca8f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare-dn1-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bff4a720-def2-43c5-a8df-f2e0e650ca8f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -4614879958526704699 leastSigBits: -6278032307780531569 } level: 3 id { uuid { mostSigBits: -4614879958526704699 leastSigBits: -6278032307780531569 } } } cmdId: 1750195915442 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0, commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "22192bf1-1fbb-455f-bf15-ac3aa968e6b8" uuid128 { mostSigBits: 2457043386326795615 leastSigBits: -4677643270004087112 } } type: RATIS factor: THREE datanode { uuid: "67410bb3-bc94-4a4b-9bea-f23a549bb9e6" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare-dn3-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "67410bb3-bc94-4a4b-9bea-f23a549bb9e6" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 7440240925983656523 leastSigBits: -7211685520938911258 } level: 3 id { uuid { mostSigBits: 7440240925983656523 leastSigBits: -7211685520938911258 } } } datanode { uuid: "bff4a720-def2-43c5-a8df-f2e0e650ca8f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare-dn1-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bff4a720-def2-43c5-a8df-f2e0e650ca8f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -4614879958526704699 leastSigBits: -6278032307780531569 } level: 3 id { uuid { mostSigBits: -4614879958526704699 leastSigBits: -6278032307780531569 } } } datanode { uuid: "5f488974-8206-442f-b7a4-181813c71478" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare-dn2-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5f488974-8206-442f-b7a4-181813c71478" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 6865888765416981551 leastSigBits: -5214015976898096008 } level: 3 id { uuid { mostSigBits: 6865888765416981551 leastSigBits: -5214015976898096008 } } } cmdId: 1750195915444 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0, commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "eb06ff68-0177-4642-82dc-4bcd3236cb9f" uuid128 { mostSigBits: -1511239802769947070 leastSigBits: -9017249009219744865 } } type: RATIS factor: THREE datanode { uuid: "5f488974-8206-442f-b7a4-181813c71478" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare-dn2-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5f488974-8206-442f-b7a4-181813c71478" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 6865888765416981551 leastSigBits: -5214015976898096008 } level: 3 id { uuid { mostSigBits: 6865888765416981551 leastSigBits: -5214015976898096008 } } } datanode { uuid: "67410bb3-bc94-4a4b-9bea-f23a549bb9e6" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare-dn3-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "67410bb3-bc94-4a4b-9bea-f23a549bb9e6" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 7440240925983656523 leastSigBits: -7211685520938911258 } level: 3 id { uuid { mostSigBits: 7440240925983656523 leastSigBits: -7211685520938911258 } } } datanode { uuid: "bff4a720-def2-43c5-a8df-f2e0e650ca8f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare-dn1-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bff4a720-def2-43c5-a8df-f2e0e650ca8f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -4614879958526704699 leastSigBits: -6278032307780531569 } level: 3 id { uuid { mostSigBits: -4614879958526704699 leastSigBits: -6278032307780531569 } } } cmdId: 1750195915445 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0]} | ret=SUCCESS |  
2025-06-17 21:31:57,670 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5f488974-8206-442f-b7a4-181813c71478, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6a2c911f-71de-40b3-ab36-fa6ae86b69b8" uuid128 { mostSigBits: 7650649431236034739 leastSigBits: -6109420507408668232 } } type: RATIS factor: ONE datanode { uuid: "5f488974-8206-442f-b7a4-181813c71478" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare-dn2-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5f488974-8206-442f-b7a4-181813c71478" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 6865888765416981551 leastSigBits: -5214015976898096008 } level: 3 id { uuid { mostSigBits: 6865888765416981551 leastSigBits: -5214015976898096008 } } } cmdId: 1750195915443 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0, commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "22192bf1-1fbb-455f-bf15-ac3aa968e6b8" uuid128 { mostSigBits: 2457043386326795615 leastSigBits: -4677643270004087112 } } type: RATIS factor: THREE datanode { uuid: "67410bb3-bc94-4a4b-9bea-f23a549bb9e6" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare-dn3-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "67410bb3-bc94-4a4b-9bea-f23a549bb9e6" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 7440240925983656523 leastSigBits: -7211685520938911258 } level: 3 id { uuid { mostSigBits: 7440240925983656523 leastSigBits: -7211685520938911258 } } } datanode { uuid: "bff4a720-def2-43c5-a8df-f2e0e650ca8f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare-dn1-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bff4a720-def2-43c5-a8df-f2e0e650ca8f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -4614879958526704699 leastSigBits: -6278032307780531569 } level: 3 id { uuid { mostSigBits: -4614879958526704699 leastSigBits: -6278032307780531569 } } } datanode { uuid: "5f488974-8206-442f-b7a4-181813c71478" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare-dn2-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5f488974-8206-442f-b7a4-181813c71478" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 6865888765416981551 leastSigBits: -5214015976898096008 } level: 3 id { uuid { mostSigBits: 6865888765416981551 leastSigBits: -5214015976898096008 } } } cmdId: 1750195915444 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0, commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "eb06ff68-0177-4642-82dc-4bcd3236cb9f" uuid128 { mostSigBits: -1511239802769947070 leastSigBits: -9017249009219744865 } } type: RATIS factor: THREE datanode { uuid: "5f488974-8206-442f-b7a4-181813c71478" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare-dn2-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5f488974-8206-442f-b7a4-181813c71478" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 6865888765416981551 leastSigBits: -5214015976898096008 } level: 3 id { uuid { mostSigBits: 6865888765416981551 leastSigBits: -5214015976898096008 } } } datanode { uuid: "67410bb3-bc94-4a4b-9bea-f23a549bb9e6" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare-dn3-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "67410bb3-bc94-4a4b-9bea-f23a549bb9e6" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 7440240925983656523 leastSigBits: -7211685520938911258 } level: 3 id { uuid { mostSigBits: 7440240925983656523 leastSigBits: -7211685520938911258 } } } datanode { uuid: "bff4a720-def2-43c5-a8df-f2e0e650ca8f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare-dn1-1.ozone-om-prepare_net" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bff4a720-def2-43c5-a8df-f2e0e650ca8f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -4614879958526704699 leastSigBits: -6278032307780531569 } level: 3 id { uuid { mostSigBits: -4614879958526704699 leastSigBits: -6278032307780531569 } } } cmdId: 1750195915445 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0]} | ret=SUCCESS |  
2025-06-17 21:31:57,957 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-06-17 21:31:58,291 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-06-17 21:31:58,652 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=67410bb3-bc94-4a4b-9bea-f23a549bb9e6, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:31:58,705 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=bff4a720-def2-43c5-a8df-f2e0e650ca8f, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:31:58,861 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=67410bb3-bc94-4a4b-9bea-f23a549bb9e6, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:31:58,893 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=bff4a720-def2-43c5-a8df-f2e0e650ca8f, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:31:58,965 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-06-17 21:31:59,011 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5f488974-8206-442f-b7a4-181813c71478, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:31:59,254 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5f488974-8206-442f-b7a4-181813c71478, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:31:59,987 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-06-17 21:32:00,486 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5f488974-8206-442f-b7a4-181813c71478, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:32:00,573 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=67410bb3-bc94-4a4b-9bea-f23a549bb9e6, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:32:00,581 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=bff4a720-def2-43c5-a8df-f2e0e650ca8f, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:32:00,994 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-06-17 21:32:02,000 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-06-17 21:32:02,599 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-06-17 21:32:02,789 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-06-17 21:32:03,003 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-06-17 21:32:03,821 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=67410bb3-bc94-4a4b-9bea-f23a549bb9e6, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:32:04,006 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-06-17 21:32:04,111 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=bff4a720-def2-43c5-a8df-f2e0e650ca8f, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:32:04,231 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=67410bb3-bc94-4a4b-9bea-f23a549bb9e6, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:32:04,468 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=5f488974-8206-442f-b7a4-181813c71478, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:32:05,011 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-06-17 21:32:05,953 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=bff4a720-def2-43c5-a8df-f2e0e650ca8f, term=2, command=[]} | ret=SUCCESS |  
2025-06-17 21:32:17,414 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/ONE, owner=omservice, size=268435456, sampleBlocks=[conID: 1 locID: 115816896921600001], num=1, client=, allocated=1} | ret=SUCCESS |  
