2024-11-16 17:13:27,830 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-11-16 17:13:28,002 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=649bf32b-b1e4-499c-88f8-9f3133cdd3ea, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "083432bd-b078-4081-be15-4b8d534c5ca8" uuid128 { mostSigBits: 591153241383256193 leastSigBits: -4749807161632334680 } } type: RATIS factor: ONE datanode { uuid: "649bf32b-b1e4-499c-88f8-9f3133cdd3ea" ipAddress: "172.18.0.8" hostName: "ozone-datanode-3.ozone_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "649bf32b-b1e4-499c-88f8-9f3133cdd3ea" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 7249655394176616860 leastSigBits: -8576930456655768598 } level: 3 } cmdId: 1731777205914 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "59834c34-965f-4d9f-82f1-1b5a59a8b961" uuid128 { mostSigBits: 6450082880069520799 leastSigBits: -9011391304526415519 } } type: RATIS factor: THREE datanode { uuid: "b10a71a4-c00c-4530-9c3e-4baa09da8dea" ipAddress: "172.18.0.9" hostName: "ozone-datanode-2.ozone_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "b10a71a4-c00c-4530-9c3e-4baa09da8dea" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -5689610226818595536 leastSigBits: -7188224761554891286 } level: 3 } datanode { uuid: "649bf32b-b1e4-499c-88f8-9f3133cdd3ea" ipAddress: "172.18.0.8" hostName: "ozone-datanode-3.ozone_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "649bf32b-b1e4-499c-88f8-9f3133cdd3ea" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 7249655394176616860 leastSigBits: -8576930456655768598 } level: 3 } datanode { uuid: "9417dd05-6bb2-44a1-831c-1d5959148243" ipAddress: "172.18.0.3" hostName: "ozone-datanode-1.ozone_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "9417dd05-6bb2-44a1-831c-1d5959148243" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -7775503216280451935 leastSigBits: -8999285685809282493 } level: 3 } cmdId: 1731777205916 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2024-11-16 17:13:28,777 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b10a71a4-c00c-4530-9c3e-4baa09da8dea, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "8879cd31-00f9-4c8e-9884-82fdd6eee15c" uuid128 { mostSigBits: -8612627202015933298 leastSigBits: -7456691056274382500 } } type: RATIS factor: ONE datanode { uuid: "b10a71a4-c00c-4530-9c3e-4baa09da8dea" ipAddress: "172.18.0.9" hostName: "ozone-datanode-2.ozone_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "b10a71a4-c00c-4530-9c3e-4baa09da8dea" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -5689610226818595536 leastSigBits: -7188224761554891286 } level: 3 } cmdId: 1731777205915 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "59834c34-965f-4d9f-82f1-1b5a59a8b961" uuid128 { mostSigBits: 6450082880069520799 leastSigBits: -9011391304526415519 } } type: RATIS factor: THREE datanode { uuid: "b10a71a4-c00c-4530-9c3e-4baa09da8dea" ipAddress: "172.18.0.9" hostName: "ozone-datanode-2.ozone_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "b10a71a4-c00c-4530-9c3e-4baa09da8dea" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -5689610226818595536 leastSigBits: -7188224761554891286 } level: 3 } datanode { uuid: "649bf32b-b1e4-499c-88f8-9f3133cdd3ea" ipAddress: "172.18.0.8" hostName: "ozone-datanode-3.ozone_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "649bf32b-b1e4-499c-88f8-9f3133cdd3ea" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 7249655394176616860 leastSigBits: -8576930456655768598 } level: 3 } datanode { uuid: "9417dd05-6bb2-44a1-831c-1d5959148243" ipAddress: "172.18.0.3" hostName: "ozone-datanode-1.ozone_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "9417dd05-6bb2-44a1-831c-1d5959148243" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -7775503216280451935 leastSigBits: -8999285685809282493 } level: 3 } cmdId: 1731777205916 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2024-11-16 17:13:28,833 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-11-16 17:13:29,054 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=9417dd05-6bb2-44a1-831c-1d5959148243, term=2, command=[]} | ret=SUCCESS |  
2024-11-16 17:13:29,260 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=9417dd05-6bb2-44a1-831c-1d5959148243, term=2, command=[]} | ret=SUCCESS |  
2024-11-16 17:13:29,326 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=649bf32b-b1e4-499c-88f8-9f3133cdd3ea, term=2, command=[]} | ret=SUCCESS |  
2024-11-16 17:13:29,483 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=649bf32b-b1e4-499c-88f8-9f3133cdd3ea, term=2, command=[]} | ret=SUCCESS |  
2024-11-16 17:13:29,836 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-11-16 17:13:30,122 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b10a71a4-c00c-4530-9c3e-4baa09da8dea, term=2, command=[]} | ret=SUCCESS |  
