2025-07-21 08:03:12,785 | INFO  | OMAudit | user=hdfs | ip=172.25.0.120 | op=COMMIT_KEY {volume=tenantone, bucket=bucket-test1, key=mykey, dataSize=11, replicationType=RATIS, replicationFactor=THREE, ETag=09ad6a6e23191dd19110d0251c4c3186, Transaction=12} | ret=SUCCESS |  
2025-07-21 08:03:15,959 | INFO  | OMAudit | user=hdfs | ip=172.25.0.120 | op=DELETE_KEY {volume=tenantone, bucket=bucket-test1, key=mykey, dataSize=11, replicationConfig=RATIS/THREE, Transaction=13} | ret=SUCCESS |  
2025-07-21 08:03:17,376 | INFO  | OMAudit | user= | ip= | op=SET_S3_SECRET {Transaction=14, S3SetSecretUser=tenantone$hdfs} | ret=SUCCESS |  
2025-07-21 08:03:24,010 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=GET_S3_SECRET {Transaction=16, S3GetSecretUser=tenantone$hdfs} | ret=SUCCESS |  
2025-07-21 08:03:26,518 | INFO  | OMAudit | user=hdfs | ip=172.25.0.120 | op=DELETE_BUCKET {volume=tenantone, bucket=bucket-test1, Transaction=17} | ret=SUCCESS |  
2025-07-21 08:03:34,726 | INFO  | OMAudit | user=hdfs | ip=172.25.0.120 | op=CREATE_BUCKET {volume=tenantone, bucket=bucket-test2, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:hdfs:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1753085012887, bucketEncryptionKey=null, modificationTime=1753085012887, usedBytes=0, usedNamespace=0, owner=hdfs, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=19} | ret=SUCCESS |  
2025-07-21 08:03:37,000 | INFO  | OMAudit | user=hdfs | ip=172.25.0.120 | op=DELETE_BUCKET {volume=tenantone, bucket=bucket-test2, Transaction=20} | ret=SUCCESS |  
2025-07-21 08:03:39,519 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=TENANT_REVOKE_USER_ACCESSID {accessId=tenantone$hdfs, Transaction=21, userPrincipal=hdfs, tenant=tenantone} | ret=SUCCESS |  
2025-07-21 08:03:42,105 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_TENANT {Transaction=22, tenant=tenantone} | ret=SUCCESS |  
2025-07-21 08:03:44,618 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_VOLUME {volume=tenantone, Transaction=23} | ret=SUCCESS |  
