2023-04-04 08:07:06,510 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=21789956-afe3-4053-84c5-c6ee8d75c41e, command=[]} | ret=SUCCESS |  
2023-04-04 08:07:13,038 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=8c12afcd-4b57-4c9a-b25b-85b5723834a5, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-04-04 08:07:28,081 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=fe31c5a4-ade5-4720-8db1-33a1cf6809a3, command=[]} | ret=SUCCESS |  
2023-04-04 08:07:28,332 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4f63a547-b2fd-4e1c-948d-836599317857, command=[]} | ret=SUCCESS |  
2023-04-04 08:07:36,518 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=21789956-afe3-4053-84c5-c6ee8d75c41e, command=[]} | ret=SUCCESS |  
2023-04-04 08:07:38,798 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=8c12afcd-4b57-4c9a-b25b-85b5723834a5, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-04-04 08:07:44,051 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=8c12afcd-4b57-4c9a-b25b-85b5723834a5, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-04-04 08:07:58,068 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=fe31c5a4-ade5-4720-8db1-33a1cf6809a3, command=[]} | ret=SUCCESS |  
2023-04-04 08:07:58,334 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4f63a547-b2fd-4e1c-948d-836599317857, command=[]} | ret=SUCCESS |  
2023-04-04 08:08:06,514 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=21789956-afe3-4053-84c5-c6ee8d75c41e, command=[]} | ret=SUCCESS |  
2023-04-04 08:08:28,076 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=fe31c5a4-ade5-4720-8db1-33a1cf6809a3, command=[]} | ret=SUCCESS |  
2023-04-04 08:08:28,346 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4f63a547-b2fd-4e1c-948d-836599317857, command=[]} | ret=SUCCESS |  
