2025-07-25 08:00:36,269 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=CREATE_VOLUME {admin=testuser, owner=testuser, volume=vol1, creationTime=1753430380476, modificationTime=1753430380476, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1, Transaction=1} | ret=SUCCESS |  
2025-07-25 08:00:36,307 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=CREATE_BUCKET {volume=vol1, bucket=bucket1, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:testuser:a[ACCESS], group:testuser:rl[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1753430383997, bucketEncryptionKey=null, modificationTime=1753430383997, usedBytes=0, usedNamespace=0, owner=testuser, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=2} | ret=SUCCESS |  
2025-07-25 08:00:36,412 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=2malttuznp/4, dataSize=268435456, replicationType=NONE, Transaction=3} | ret=SUCCESS |  
2025-07-25 08:00:36,440 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=2malttuznp/6, dataSize=268435456, replicationType=NONE, Transaction=4} | ret=SUCCESS |  
2025-07-25 08:00:36,444 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=2malttuznp/0, dataSize=268435456, replicationType=NONE, Transaction=5} | ret=SUCCESS |  
2025-07-25 08:00:36,446 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=2malttuznp/7, dataSize=268435456, replicationType=NONE, Transaction=6} | ret=SUCCESS |  
2025-07-25 08:00:36,448 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=2malttuznp/2, dataSize=268435456, replicationType=NONE, Transaction=7} | ret=SUCCESS |  
2025-07-25 08:00:36,450 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=2malttuznp/9, dataSize=268435456, replicationType=NONE, Transaction=8} | ret=SUCCESS |  
2025-07-25 08:00:36,452 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=2malttuznp/5, dataSize=268435456, replicationType=NONE, Transaction=9} | ret=SUCCESS |  
2025-07-25 08:00:36,454 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=2malttuznp/8, dataSize=268435456, replicationType=NONE, Transaction=10} | ret=SUCCESS |  
2025-07-25 08:00:36,457 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=2malttuznp/1, dataSize=268435456, replicationType=NONE, Transaction=11} | ret=SUCCESS |  
