2025-09-21 18:46:25,872 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-09-21 18:46:26,076 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"09b6b7e9-4dbb-4b5e-af3b-ba296743d2ff","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"f5b168ed-4378-4911-8bba-dc1924911759\" uuid128 { mostSigBits: -742697095290926831 leastSigBits: -8378142156223604903 } } type: RATIS factor: THREE datanode { uuid: \"09b6b7e9-4dbb-4b5e-af3b-ba296743d2ff\" ipAddress: \"172.18.0.12\" hostName: \"ozone-balancer-datanode4-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"09b6b7e9-4dbb-4b5e-af3b-ba296743d2ff\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 699949004762073950 leastSigBits: -5819853406457310465 } level: 3 id { uuid { mostSigBits: 699949004762073950 leastSigBits: -5819853406457310465 } } } datanode { uuid: \"ea6ec339-0693-4612-93d6-784735477572\" ipAddress: \"172.18.0.3\" hostName: \"ozone-balancer-datanode3-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"ea6ec339-0693-4612-93d6-784735477572\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -1554090171705375214 leastSigBits: -7793909857886177934 } level: 3 id { uuid { mostSigBits: -1554090171705375214 leastSigBits: -7793909857886177934 } } } datanode { uuid: \"e94a3c8a-5a29-4763-ae8c-443e4546bfc1\" ipAddress: \"172.18.0.4\" hostName: \"ozone-balancer-datanode6-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"e94a3c8a-5a29-4763-ae8c-443e4546bfc1\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -1636428949679945885 leastSigBits: -5869241180129673279 } level: 3 id { uuid { mostSigBits: -1636428949679945885 leastSigBits: -5869241180129673279 } } } cmdId: 1758480384111 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
2025-09-21 18:46:26,938 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"a507fd9b-0753-419f-a6c3-ad31bd473ea8","term":"2","command":"[]"} | ret=SUCCESS |  
2025-09-21 18:46:26,938 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-09-21 18:46:27,943 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-09-21 18:46:28,948 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-09-21 18:46:29,452 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2025-09-21 18:46:29,594 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=ADD_SCM {"cluster":"CID-97a5c430-7dd7-4cdd-8152-416ba800169e","scmId":"e779e659-5f66-4449-8c51-71f62ddc41a9","addr":"scm2:9894"} | ret=SUCCESS |  
2025-09-21 18:46:29,954 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-09-21 18:46:30,957 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
