2023-02-27 12:17:07,136 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=903590de-2bfa-47c1-851e-c54ef31edb06, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:07,896 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=903590de-2bfa-47c1-851e-c54ef31edb06, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:08,027 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=24284a9a-2917-4d73-9f01-5fdb206c1b80, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:08,627 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=24284a9a-2917-4d73-9f01-5fdb206c1b80, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:12,793 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.22.0.10 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-02-27 12:17:12,905 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=903590de-2bfa-47c1-851e-c54ef31edb06, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:13,562 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=24284a9a-2917-4d73-9f01-5fdb206c1b80, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:16,259 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b8cd82e6-7b78-4f6c-a16d-8821982a1354, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "01bbef0c-a0ae-4511-9994-7a35b96c3634" uuid128 { mostSigBits: 124956252197242129 leastSigBits: -7380139518190668236 } } type: RATIS factor: THREE datanode { uuid: "b8cd82e6-7b78-4f6c-a16d-8821982a1354" ipAddress: "172.22.0.4" hostName: "ozonesecure-mr_datanode_1.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "b8cd82e6-7b78-4f6c-a16d-8821982a1354" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5130300474079555732 leastSigBits: -6814640983273499820 } } datanode { uuid: "24284a9a-2917-4d73-9f01-5fdb206c1b80" ipAddress: "172.22.0.7" hostName: "ozonesecure-mr_datanode_3.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "24284a9a-2917-4d73-9f01-5fdb206c1b80" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2605414410408643955 leastSigBits: -6989199751955866752 } } datanode { uuid: "903590de-2bfa-47c1-851e-c54ef31edb06" ipAddress: "172.22.0.5" hostName: "ozonesecure-mr_datanode_2.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "903590de-2bfa-47c1-851e-c54ef31edb06" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8055373074587301951 leastSigBits: -8854422874486809850 } } cmdId: 1677500221863 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6ae4747f-f76c-4dfe-ad11-bfd4bf860fdf" uuid128 { mostSigBits: 7702409355671129598 leastSigBits: -5975784310076731425 } } type: RATIS factor: THREE datanode { uuid: "b8cd82e6-7b78-4f6c-a16d-8821982a1354" ipAddress: "172.22.0.4" hostName: "ozonesecure-mr_datanode_1.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "b8cd82e6-7b78-4f6c-a16d-8821982a1354" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5130300474079555732 leastSigBits: -6814640983273499820 } } datanode { uuid: "903590de-2bfa-47c1-851e-c54ef31edb06" ipAddress: "172.22.0.5" hostName: "ozonesecure-mr_datanode_2.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "903590de-2bfa-47c1-851e-c54ef31edb06" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8055373074587301951 leastSigBits: -8854422874486809850 } } datanode { uuid: "24284a9a-2917-4d73-9f01-5fdb206c1b80" ipAddress: "172.22.0.7" hostName: "ozonesecure-mr_datanode_3.ozone" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "24284a9a-2917-4d73-9f01-5fdb206c1b80" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2605414410408643955 leastSigBits: -6989199751955866752 } } cmdId: 1677500221864 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2023-02-27 12:17:17,835 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=24284a9a-2917-4d73-9f01-5fdb206c1b80, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:18,252 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=903590de-2bfa-47c1-851e-c54ef31edb06, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:19,833 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=24284a9a-2917-4d73-9f01-5fdb206c1b80, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:19,886 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.22.0.2 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2023-02-27 12:17:20,107 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b8cd82e6-7b78-4f6c-a16d-8821982a1354, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:23,831 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=903590de-2bfa-47c1-851e-c54ef31edb06, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:35,083 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b8cd82e6-7b78-4f6c-a16d-8821982a1354, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:40,116 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b8cd82e6-7b78-4f6c-a16d-8821982a1354, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:49,866 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=24284a9a-2917-4d73-9f01-5fdb206c1b80, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:17:53,851 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=903590de-2bfa-47c1-851e-c54ef31edb06, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:18:10,188 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b8cd82e6-7b78-4f6c-a16d-8821982a1354, term=2, command=[]} | ret=SUCCESS |  
