2023-06-07 13:38:40,438 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4f2056a0-7f64-46ad-9395-9f2b6d698c7f, command=[]} | ret=SUCCESS |  
2023-06-07 13:38:47,298 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=3f35b724-0def-4c35-881f-36debf829b1e, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-07 13:39:02,035 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=5fd82daa-1887-47df-9cdd-c40970146cfa, command=[]} | ret=SUCCESS |  
2023-06-07 13:39:02,439 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=c6aefd03-a194-4a1c-8bd2-bd283efd70e2, command=[]} | ret=SUCCESS |  
2023-06-07 13:39:10,440 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4f2056a0-7f64-46ad-9395-9f2b6d698c7f, command=[]} | ret=SUCCESS |  
2023-06-07 13:39:13,593 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=3f35b724-0def-4c35-881f-36debf829b1e, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-07 13:39:18,722 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=3f35b724-0def-4c35-881f-36debf829b1e, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-07 13:39:32,055 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=5fd82daa-1887-47df-9cdd-c40970146cfa, command=[]} | ret=SUCCESS |  
2023-06-07 13:39:32,431 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=c6aefd03-a194-4a1c-8bd2-bd283efd70e2, command=[]} | ret=SUCCESS |  
2023-06-07 13:39:40,441 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4f2056a0-7f64-46ad-9395-9f2b6d698c7f, command=[]} | ret=SUCCESS |  
2023-06-07 13:40:02,040 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=5fd82daa-1887-47df-9cdd-c40970146cfa, command=[]} | ret=SUCCESS |  
2023-06-07 13:40:02,426 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=c6aefd03-a194-4a1c-8bd2-bd283efd70e2, command=[]} | ret=SUCCESS |  
